RQ0-2-3-raw-data (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
participant-id,years-of-experience,role-in-code-review,current-role,programming-language,project,injected-issues,automatically-identified-issues,treatment,total-issues-reported,injected-issues-identified,% injected-issues-identified,automatic-issues-kept,additional-issues (non injected),additional-issues-objectively-wrong,number-of-comments,number-of-sentences,number-of-words,total-time,time-on-code-to-review,time-writing-code-review,confidence,automatically-identified-injected-issues,code_lines_commented,doc_lines_commented,empty_lines_commented,total_lines,code_lines,doc_lines,empty_lines,total-coverage,code-coverage,doc-coverage,manually-identified-issues,% manual issues
dev33,10,Contributor&Reviewer,Software Engineer,Java,word-utils,6,6,ACR,6,1,0.166666666666667,6,5,0,10,22,341,4046,860,650,2,1,10,0,0,509,195,286,28,0.02,0.05,0,0,0
dev34,10,Contributor&Reviewer,Research Scientist,Python,stopwatch,4,NA,CCR,4,4,1,4,0,0,4,20,270,2026,2025,1179,4,NA,6,1,0,258,101,110,47,0.03,0.06,0.01,0,0
dev35,23,Contributor&Reviewer,Software Engineer,Python,tic-tac-toe,7,,CCR,15,7,1,7,8,0,15,30,450,2034,1948,1169,4,,23,0,0,121,65,38,18,0.19,0.35,0,8,0.53
dev35,23,Contributor&Reviewer,Software Engineer,Python,stopwatch,4,,ACR,11,0,0,1,11,0,16,33,589,1562,1508,807,4,,18,5,0,258,101,110,47,0.09,0.18,0.05,10,0.91
dev35,23,Contributor&Reviewer,Software Engineer,Python,todo-list,3,,MCR,11,2,0.666666666666667,0,9,0,11,29,364,1816,1785,804,4,,12,1,0,198,109,65,24,0.07,0.11,0.02,11,1
dev36,15,Contributor&Reviewer,Software Engineer,Java,maze-generator,1,14,ACR,10,1,1,9,9,0,10,31,462,NA,NA,NA,3,1,14,0,0,164,94,52,18,0.09,0.15,0,1,0.1
dev36,15,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,NA,CCR,8,4,1,4,4,0,9,26,241,NA,NA,NA,5,NA,8,3,0,116,75,28,13,0.09,0.11,0.11,4,0.5
dev36,15,Contributor&Reviewer,Software Engineer,Java,word-utils,6,,MCR,11,2,0.333333333333333,0,9,0,11,34,371,NA,NA,NA,1,,7,4,0,509,195,286,28,0.02,0.04,0.01,11,1
dev38,10,Contributor&Reviewer,Software Engineer,Python,maze-generator,2,8,ACR,10,1,0.5,8,9,0,7,27,458,991,792,187,3,1,7,4,0,75,24,38,13,0.15,0.29,0.11,2,0.2
dev38,10,Contributor&Reviewer,Software Engineer,Python,number-conversion,2,NA,MCR,10,2,1,0,8,0,10,20,315,2359,2278,1252,4,NA,14,0,0,81,61,7,13,0.17,0.23,0,10,1
dev38,10,Contributor&Reviewer,Software Engineer,Python,word-utils,7,NA,CCR,16,7,1,7,9,0,16,30,578,2760,2402,576,4,NA,31,0,0,426,117,240,69,0.07,0.26,0,9,0.5625
dev4,9,Contributor&Reviewer,Software Engineer,Python,maze-generator,2,,MCR,2,1,0.5,0,1,0,2,4,38,702,646,198,4,,1,2,0,75,24,38,13,0.04,0.04,0.05,2,1
dev4,9,Contributor&Reviewer,Software Engineer,Python,number-conversion,2,,CCR,5,1,0.5,1,4,0,5,6,80,1602,1543,782,4,,21,3,2,81,61,7,13,0.32,0.34,0.43,4,0.8
dev40,10,Contributor&Reviewer,Software Engineer,Java,word-utils,6,,ACR,6,1,0.166666666666667,3,5,0,12,27,381,1759,1743,357,4,,13,0,0,509,195,286,28,0.03,0.07,0,3,0.5
dev5,27,Contributor&Reviewer,Software Engineer,Java,maze-generator,1,NA,CCR,6,1,1,1,5,0,6,8,112,1567,1475,557,4,NA,7,0,0,164,94,52,18,0.04,0.07,0,5,0.833333333333333
dev5,27,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,10,ACR,11,3,0.75,10,8,0,10,27,403,616,444,332,5,3,9,2,0,116,75,28,13,0.09,0.12,0.07,1,0.0909090909090909
dev5,27,Contributor&Reviewer,Software Engineer,Java,stopwatch,7,NA,MCR,8,1,0.285714285714286,0,6,0,9,15,107,827,686,263,4,NA,28,0,2,528,202,275,51,0.06,0.14,0,8,1
dev6,35,Contributor&Reviewer,Software Engineer,Python,stopwatch,4,,CCR,12,4,1,4,8,0,12,29,455,4378,4247,1074,4,,23,3,1,258,101,110,47,0.1,0.23,0.03,8,0.67
dev6,35,Contributor&Reviewer,Software Engineer,Python,maze-generator,2,,ACR,3,1,0.5,2,2,0,3,8,102,10884,10601,2408,4,,2,2,0,75,24,38,13,0.05,0.08,0.05,1,0.33
dev7,11,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,NA,CCR,4,4,1,4,0,1,6,16,265,1824,1673,531,4,NA,6,2,0,116,75,28,13,0.07,0.08,0.07,0,0
dev7,11,Contributor&Reviewer,Software Engineer,Java,stopwatch,7,7,ACR,17,4,0.571428571428571,7,13,0,16,38,620,3209,2019,606,3,2,19,23,2,528,202,275,51,0.08,0.09,0.08,10,0.588235294117647
dev7,11,Contributor&Reviewer,Software Engineer,Java,word-utils,6,NA,MCR,4,1,0.166666666666667,0,3,0,5,9,157,2241,2112,514,2,NA,4,18,0,509,195,286,28,0.04,0.02,0.06,4,1
dev9,20,Contributor&Reviewer,Software Engineer,Java,number-conversion,4,NA,MCR,9,4,1,0,5,0,9,10,209,1625,1532,650,4,NA,37,2,1,116,75,28,13,0.34,0.49,0.07,9,1
dev9,20,Contributor&Reviewer,Software Engineer,Java,stopwatch,7,NA,CCR,22,6,0.857142857142857,6,16,0,21,45,605,4092,3867,1730,4,NA,20,25,0,528,202,275,51,0.09,0.1,0.09,16,0.727272727272727
