participant-id,years-of-experience,role-in-code-review,programming-language,project,injected-issues,automatically-identified-issues,treatment,total-issues-reported,injected-issues-identified,% injected-issues-identified,automatic-issues-kept,additional-issues (non injected),additional-issues-objectively-wrong,number-of-comments,number-of-sentences,number-of-words,number-of-commented-lines,total-time (s),time-on-code-to-review,time-writing-code-review,confidence,automatically-identified-injected-issues,code_lines_commented,doc_lines_commented,empty_lines_commented,total_lines,code_lines,doc_lines,empty_lines,total-coverage,code-coverage,doc-coverage,manually-identified-issues,% manual issues
dev25,5,Contributor&Reviewer,Java,number-conversion,4,10,automated code review,15,3,0.75,10,12,0,14,33,483,15,NA,NA,,4,3,9,2,0,116,75,28,13,0.09,0.12,0.07,5,0.3333333333
dev25,5,Contributor&Reviewer,Java,stopwatch,7,NA,comprehensive code review,9,7,1,7,2,0,8,22,308,19,NA,NA,,3,NA,14,5,0,528,202,275,51,0.04,0.07,0.02,2,0.2222222222
dev26,6,Contributor&Reviewer,Python,maze-generator,2,8,automated code review,10,1,0.5,8,9,0,7,31,495,12,1228,1226,904,4,1,8,4,0,75,24,38,13,0.16,0.33,0.11,2,0.2
dev26,6,Contributor&Reviewer,Python,number-conversion,2,NA,no code review,3,2,1,0,1,0,3,5,122,5,1587,1414,480,5,NA,5,0,0,81,61,7,13,0.06,0.08,0.00,3,1
dev26,6,Contributor&Reviewer,Python,word-utils,7,NA,comprehensive code review,12,7,1,7,5,0,12,29,480,75,6567,6436,1635,4,NA,32,37,6,426,117,240,69,0.18,0.27,0.15,5,0.4166666667
dev27,6,,Java,number-conversion,4,NA,no code review,9,3,0.75,0,6,0,9,19,345,9,5428,4962,1174,4,NA,5,4,0,116,75,28,13,0.08,0.07,0.14,9,1
dev27,6,,Java,stopwatch,7,7,automated code review,9,1,0.1428571429,7,8,1,8,31,512,12,3499,3499,569,3,2,6,1,0,528,202,275,51,0.01,0.03,0.00,2,0.2222222222
dev27,6,,Java,tic-tac-toe,2,NA,comprehensive code review,9,2,1,2,7,0,12,27,460,81,5141,5138,989,3,NA,69,0,0,326,255,36,35,0.21,0.27,0.00,7,0.7777777778
dev28,4,Contributor&Reviewer,Python,maze-generator,2,NA,comprehensive code review,10,2,1,2,8,0,10,16,245,15,1627,1627,810,4,NA,10,5,0,75,24,38,13,0.20,0.42,0.13,8,0.8
dev28,4,Contributor&Reviewer,Python,number-conversion,2,9,automated code review,7,1,0.5,4,6,0,8,18,280,23,1505,1444,348,4,2,21,0,2,81,61,7,13,0.28,0.34,0.00,3,0.4285714286
dev28,4,Contributor&Reviewer,Python,word-utils,7,NA,no code review,4,1,0.1428571429,0,3,0,6,7,72,7,2098,2098,262,4,NA,4,0,1,426,117,240,69,0.01,0.03,0.00,4,1
dev29,3,Contributor&Reviewer,Python,number-conversion,2,NA,comprehensive code review,3,2,1,2,1,0,3,6,66,6,NA,NA,,3,NA,3,3,0,81,61,7,13,0.07,0.05,0.43,1,0.3333333333
dev29,3,Contributor&Reviewer,Python,word-utils,7,7,automated code review,7,1,0.1428571429,7,6,0,7,20,359,8,NA,NA,,3,1,8,0,0,426,117,240,69,0.02,0.07,0.00,0,0
dev29,3,Contributor&Reviewer,Python,maze-generator,2,NA,no code review,6,0,0,0,6,0,6,12,66,6,NA,NA,,3,NA,5,0,0,75,24,38,13,0.07,0.21,0.00,6,1
dev31,10,,Python,tic-tac-toe,7,11,automated code review,11,5,0.7142857143,8,6,0,11,27,435,16,2424,2397,475,5,3,14,1,1,121,65,38,18,0.13,0.22,0.03,3,0.2727272727
dev33,10,,Java,maze-generator,1,NA,comprehensive code review,6,1,1,1,5,0,6,12,235,6,2987,2398,1261,4,NA,6,0,0,164,94,52,18,0.04,0.06,0.00,5,0.8333333333
dev33,10,,Java,todo-list,3,NA,no code review,6,2,0.6666666667,0,4,0,6,7,107,6,1233,714,256,4,NA,6,0,0,206,141,47,18,0.03,0.04,0.00,6,1
dev33,10,,Java,word-utils,6,6,automated code review,6,1,0.1666666667,6,5,0,10,22,341,11,4046,860,650,2,1,10,0,0,509,195,286,28,0.02,0.05,0.00,0,0
dev34,10,Contributor&Reviewer,Python,stopwatch,4,NA,comprehensive code review,4,4,1,4,0,0,4,20,270,7,2026,2025,1179,4,NA,6,1,0,258,101,110,47,0.03,0.06,0.01,0,0
dev36,15,Contributor&Reviewer,Java,maze-generator,1,14,automated code review,10,1,1,9,9,0,10,31,462,15,NA,NA,,3,1,14,0,0,164,94,52,18,0.09,0.15,0.00,1,0.1
dev36,15,Contributor&Reviewer,Java,number-conversion,4,NA,comprehensive code review,8,4,1,4,4,0,9,26,241,11,NA,NA,,5,NA,8,3,0,116,75,28,13,0.09,0.11,0.11,4,0.5
dev38,10,Contributor&Reviewer,Python,maze-generator,2,8,automated code review,10,1,0.5,8,9,0,7,27,458,11,991,792,187,3,1,7,4,0,75,24,38,13,0.15,0.29,0.11,2,0.2
dev38,10,Contributor&Reviewer,Python,number-conversion,2,NA,no code review,10,2,1,0,8,0,10,20,315,14,2359,2278,1252,4,NA,14,0,0,81,61,7,13,0.17,0.23,0.00,10,1
dev38,10,Contributor&Reviewer,Python,word-utils,7,NA,comprehensive code review,16,7,1,7,9,0,16,30,578,31,2760,2402,576,4,NA,31,0,0,426,117,240,69,0.07,0.26,0.00,9,0.5625
dev5,27,Contributor&Reviewer,Java,maze-generator,1,NA,comprehensive code review,6,1,1,1,5,0,6,8,112,7,1567,1475,557,4,NA,7,0,0,164,94,52,18,0.04,0.07,0.00,5,0.8333333333
dev5,27,Contributor&Reviewer,Java,number-conversion,4,10,automated code review,11,3,0.75,10,8,0,10,27,403,12,616,444,332,5,3,9,2,0,116,75,28,13,0.09,0.12,0.07,1,0.09090909091
dev5,27,Contributor&Reviewer,Java,stopwatch,7,NA,no code review,8,2,0.2857142857,0,6,0,9,15,107,30,827,686,263,4,NA,28,0,2,528,202,275,51,0.06,0.14,0.00,8,1
dev7,11,Contributor&Reviewer,Java,number-conversion,4,NA,comprehensive code review,4,4,1,4,0,1,6,16,265,8,1824,1673,531,4,NA,6,2,0,116,75,28,13,0.07,0.08,0.07,0,0
dev7,11,Contributor&Reviewer,Java,stopwatch,7,7,automated code review,17,4,0.5714285714,7,13,0,16,38,620,44,3209,2019,606,3,2,19,23,2,528,202,275,51,0.08,0.09,0.08,10,0.5882352941
dev7,11,Contributor&Reviewer,Java,word-utils,6,NA,no code review,4,1,0.1666666667,0,3,0,5,9,157,22,2241,2112,514,2,NA,4,18,0,509,195,286,28,0.04,0.02,0.06,4,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,NA,comprehensive code review,22,6,0.8571428571,6,16,0,21,45,605,46,4092,3868,,4,NA,20,25,0,528,202,275,51,0.09,0.10,0.09,16,0.7272727273
dev9,20,Contributor&Reviewer,Java,number-conversion,4,NA,no code review,9,4,1,0,5,0,9,10,209,41,1625,1532,650,4,NA,37,2,1,116,75,28,13,0.34,0.49,0.07,9,1
